$image1$,$image2$,PSNR,SSIM,Compression Rate
kodim01.png,kodim02.png,49.7568504626076,0.9972702271610954,0.16666666666666663
kodim01.png,kodim05.png,41.603179668974526,0.9970646221583747,0.16666666666666663
kodim01.png,kodim13.png,42.10800728001069,0.9979410218732753,0.16666666666666663
kodim01.png,kodim23.png,41.73143644239567,0.9900211963400846,0.16666666666666663
kodim02.png,kodim05.png,41.15762539571749,0.9966603336781296,0.16666666666666663
kodim02.png,kodim13.png,41.92911390287635,0.9977627696058529,0.16666666666666663
kodim02.png,kodim23.png,42.16654757264656,0.9909616994962858,0.16666666666666663
kodim05.png,kodim13.png,44.65926070101258,0.9987041069492257,0.16666666666666663
kodim05.png,kodim23.png,43.62379694703237,0.9929336301277961,0.16666666666666663
kodim13.png,kodim23.png,42.02487593600905,0.9934271798542007,0.16666666666666663
